City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
161,chegdomyn,51.1167,133.0167,-12.67,98,78,0.84,RU,1731621353
162,tiksi,71.6872,128.8694,-23.63,100,98,0.85,RU,1731621354
163,tabou,4.423,-7.3528,25.43,87,10,2.28,CI,1731621355
164,ushuaia,-54.8,-68.3,12.81,44,0,5.66,AR,1731621356
165,yuzhno-kurilsk,44.0306,145.8556,6.64,67,100,3.27,RU,1731621357
166,chum phae,16.5443,102.0992,23.15,82,78,0.62,TH,1731621358
167,lata,40.1629,-8.3327,16.94,62,100,3.81,PT,1731621361
168,isafjordur,66.0755,-23.124,-1.02,63,51,17.71,IS,1731621362
169,choibalsan,48.0667,114.5,-2.63,77,100,5.0,MN,1731621363
170,bornos,36.8168,-5.7445,15.46,85,100,2.03,ES,1731621364
171,istgah-e rah ahan-e garmsar,35.2346,52.3094,10.15,71,7,0.69,IR,1731621365
172,hamilton,39.1834,-84.5333,13.21,92,75,5.36,US,1731621360
173,la passe,45.5549,-0.8967,8.48,84,64,6.12,FR,1731621368
174,julio de castilhos,-29.2269,-53.6817,19.34,56,0,3.93,BR,1731621369
175,saint-denis,48.9167,2.3333,10.88,96,100,3.09,FR,1731621370
176,dryden,49.7833,-92.7503,3.16,100,100,3.09,CA,1731621371
177,laojunmiao,39.8333,97.7333,-2.42,84,100,2.32,CN,1731621372
178,santa marta de ortigueira,43.6833,-7.85,13.95,82,30,10.58,ES,1731621373
179,uturoa,-16.7333,-151.4333,26.02,72,100,4.75,PF,1731621374
180,rio verde de mato grosso,-18.9181,-54.8442,27.22,61,66,3.02,BR,1731621375
181,bel ombre,-4.6167,55.4167,25.91,83,20,0.0,SC,1731621377
182,verkh-chebula,56.0308,87.6218,-14.08,88,83,2.5,RU,1731621378
183,punta arenas,-53.15,-70.9167,12.06,47,0,3.09,CL,1731621380
184,la ronge,55.1001,-105.2842,-1.86,80,100,8.75,CA,1731621381
185,abepura,-2.6333,140.5833,26.45,89,40,2.57,ID,1731621382
186,kudahuvadhoo,2.6708,72.8944,28.21,70,94,3.68,MV,1731621383
187,newman,37.3138,-121.0208,17.25,58,35,2.24,US,1731621384
188,mehekar,20.15,76.5667,19.39,61,88,1.84,IN,1731621386
189,villa de cos,23.2833,-102.35,23.71,28,4,5.19,MX,1731621387
190,shimoda,34.6667,138.95,18.77,91,99,2.11,JP,1731621388
191,daru,-9.0763,143.2092,27.34,86,73,5.57,PG,1731621389
192,wajir,1.7471,40.0573,26.15,75,94,7.68,KE,1731621390
193,cruzilia,-21.8386,-44.8083,17.37,88,50,5.18,BR,1731621391
194,pisco,-13.7,-76.2167,22.03,68,0,9.26,PE,1731621394
195,sao vicente,-23.9631,-46.3919,20.55,35,100,1.54,BR,1731621255
196,el calafate,-50.3408,-72.2768,11.32,49,57,3.55,AR,1731621260
197,kailua-kona,19.6406,-155.9956,28.09,82,0,5.14,US,1731621397
198,tvoroyri,61.5556,-6.8111,9.9,89,100,12.59,FO,1731621398
199,san antonio de pale,-1.4014,5.6325,25.9,83,100,3.01,GQ,1731621399
200,ustka,54.5805,16.8619,7.02,71,100,2.94,PL,1731621400
201,utrik,11.2278,169.8474,28.13,74,12,6.19,MH,1731621401
202,tocopilla,-22.092,-70.1979,18.96,69,36,1.83,CL,1731621403
203,karagach,43.8053,43.775,4.27,75,100,0.6,RU,1731621404
204,ambon,-3.6954,128.1814,29.02,100,40,1.54,ID,1731621405
205,vernon,50.2581,-119.2691,8.29,85,100,0.51,CA,1731621406
206,at taj,24.2049,23.2857,16.27,39,1,4.27,LY,1731621407
207,fort bragg,35.139,-79.006,13.23,95,100,3.09,US,1731621408
208,keflavik,64.0049,-22.5624,3.24,70,75,13.89,IS,1731621409
209,yeniseysk,58.4497,92.1703,-9.94,90,100,2.83,RU,1731621410
210,sao gabriel da cachoeira,-0.1303,-67.0892,27.11,72,90,1.31,BR,1731621412
211,karratha,-20.7377,116.8463,29.92,45,6,4.17,AU,1731621413
212,usogorsk,63.4106,48.6872,1.14,98,100,4.13,RU,1731621414
213,sitka,57.0531,-135.33,4.94,81,75,2.57,US,1731621415
214,hebertshausen,48.2902,11.4724,4.93,94,100,2.23,DE,1731621416
215,christchurch,-43.5333,172.6333,17.19,84,75,8.23,NZ,1731620839
216,georgetown,5.4112,100.3354,26.96,88,20,2.68,MY,1731621418
217,klyuchi,52.2667,79.1667,-2.75,94,100,6.98,RU,1731621419
218,lib,8.3122,167.3766,27.64,77,100,4.34,MH,1731621422
219,longyearbyen,78.2186,15.6401,-0.09,74,75,9.26,SJ,1731621423
220,olyokminsk,60.3736,120.4264,-23.18,99,96,1.12,RU,1731621424
221,vila velha,-20.3297,-40.2925,22.97,94,100,4.63,BR,1731621391
222,riobamba,-1.6667,-78.6333,20.2,49,75,5.14,EC,1731621407
223,yanam,16.7333,82.2167,25.38,84,61,2.12,IN,1731621428
224,tupiza,-21.45,-65.7167,14.0,49,99,8.28,BO,1731621243
225,anadyr,64.75,177.4833,-8.72,72,20,6.0,RU,1731621322
226,chonchi,-42.6128,-73.8092,12.84,97,100,3.54,CL,1731621431
227,lorengau,-2.0226,147.2712,28.45,74,42,4.57,PG,1731621432
228,kristiansund,63.1115,7.732,11.74,76,75,12.35,NO,1731621433
229,blackrod,53.5923,-2.5803,6.36,89,65,0.3,GB,1731621434
230,nadym,65.5333,72.5167,-14.2,95,100,9.55,RU,1731621436
231,al ghayzah,16.2079,52.176,24.72,62,1,0.85,YE,1731621437
232,kwang binh,17.4833,106.6,23.54,91,65,0.85,VN,1731621438
233,hanceville,34.0607,-86.7675,19.53,61,0,4.24,US,1731621440
234,kapit,2.0167,112.9333,22.77,100,97,0.58,MY,1731621442
235,victoria,22.2855,114.1577,24.58,95,100,5.36,HK,1731621444
236,skelleftea,64.7507,20.9528,5.0,78,0,4.63,SE,1731621445
237,lipno,52.8444,19.1785,6.23,99,100,3.63,PL,1731621446
238,cockburn town,21.4612,-71.1419,26.51,64,4,7.25,TC,1731621367
239,motygino,58.1831,94.7592,-10.11,95,100,2.3,RU,1731621448
240,brigantine,39.4101,-74.3646,10.01,79,100,4.63,US,1731621355
241,clinton,42.587,-82.9199,9.51,88,100,3.09,US,1731621325
242,bahia de caraquez,-0.6,-80.4167,23.78,74,92,5.48,EC,1731621452
243,totness,5.8833,-56.3167,27.48,83,97,5.43,SR,1731621453
244,holualoa,19.6228,-155.9522,26.02,85,0,5.14,US,1731621454
245,alta,69.9689,23.2717,2.59,75,40,5.66,NO,1731621455
246,antsiranana,-12.2787,49.2917,25.42,77,19,5.27,MG,1731621457
247,xining,36.6167,101.7667,5.09,69,90,0.83,CN,1731621458
248,greymouth,-42.4667,171.2,14.14,98,100,5.32,NZ,1731621459
249,kapa'a,22.0752,-159.319,24.18,90,100,6.69,US,1731621461
250,barwadih,23.8333,84.1167,15.86,64,2,1.65,IN,1731621462
251,kiunga,-6.1219,141.2906,23.99,93,98,0.26,PG,1731621463
252,mount pearl,47.5166,-52.7813,11.29,97,100,7.72,CA,1731621464
253,verdal,63.7933,11.4817,9.56,89,100,10.79,NO,1731621465
254,chinchilla,-26.75,150.6333,22.79,83,99,0.89,AU,1731621466
255,dara,15.3484,-15.4799,24.19,44,97,3.92,SN,1731621467
256,la mira,18.035,-102.3266,28.25,72,95,3.61,MX,1731621468
257,emerald,-23.5333,148.1667,27.2,64,99,3.26,AU,1731621470
258,shalqar,47.8333,59.6,-0.64,63,100,3.2,KZ,1731621471
